state,date,fips,cases,deaths,state_code,test
Washington,2020-03-06,53,86,12,WA,0.9922409381580944
Wisconsin,2020-03-06,55,1,0,WI,0.43961857100089385
Arizona,2020-03-07,4,5,0,AZ,0.3934639175943312
California,2020-03-07,6,100,1,CA,0.0029124414970196355
Colorado,2020-03-07,8,8,0,CO,0.5063446839066285
District of Columbia,2020-03-07,11,1,0,DC,0.6410125338688992
Florida,2020-03-07,12,12,2,FL,0.4788353592103598
Georgia,2020-03-07,13,7,0,GA,0.6178691784168459
Hawaii,2020-03-07,15,1,0,HI,0.13397611544274202
Illinois,2020-03-07,17,6,0,IL,0.3462619331253397
Indiana,2020-03-07,18,1,0,IN,0.33681654385785975
Kansas,2020-03-07,20,1,0,KS,0.19663617721833537
Kentucky,2020-03-07,21,1,0,KY,0.6959868131032565
Maryland,2020-03-07,24,3,0,MD,0.02309528808255168
Massachusetts,2020-03-07,25,13,0,MA,0.6516854757543769
Minnesota,2020-03-07,27,1,0,MN,0.5652364101618733
Missouri,2020-03-07,29,1,0,MO,0.29391659407977966
Nebraska,2020-03-07,31,14,0,NE,0.20104738894694496
Nevada,2020-03-07,32,2,0,NV,0.23616111885931979
New Hampshire,2020-03-07,33,4,0,NH,0.4956106830039322
New Jersey,2020-03-07,34,4,0,NJ,0.4926803861300987
New York,2020-03-07,36,89,0,NY,0.020927253968441528
North Carolina,2020-03-07,37,2,0,NC,0.9028170116787713
Oklahoma,2020-03-07,40,1,0,OK,0.14995711252641197
Oregon,2020-03-07,41,6,0,OR,0.3664536015139094
Pennsylvania,2020-03-07,42,4,0,PA,0.749546466003624
Rhode Island,2020-03-07,44,3,0,RI,0.539717028798362
South Carolina,2020-03-07,45,2,0,SC,0.5711735779374177
Tennessee,2020-03-07,47,1,0,TN,0.3064554088332846
Texas,2020-03-07,48,19,0,TX,0.6851794049341006
Utah,2020-03-07,49,3,0,UT,0.6795229429182688
Vermont,2020-03-07,50,1,0,VT,0.3069081032091653
Virginia,2020-03-07,51,1,0,VA,0.7711682850443702
Washington,2020-03-07,53,110,16,WA,0.8644371130783588
Wisconsin,2020-03-07,55,1,0,WI,0.6491399242157648
Arizona,2020-03-08,4,5,0,AZ,0.6193140971105552
California,2020-03-08,6,112,1,CA,0.32913504620586664
Colorado,2020-03-08,8,8,0,CO,0.9361972208472039
Connecticut,2020-03-08,9,1,0,CT,0.3125924602923429
District of Columbia,2020-03-08,11,1,0,DC,0.372299414152795
Florida,2020-03-08,12,13,2,FL,0.9065074260475793
Georgia,2020-03-08,13,11,0,GA,0.03841424642453184
Hawaii,2020-03-08,15,2,0,HI,0.46103068074756126
Illinois,2020-03-08,17,7,0,IL,0.4881661060001091
Indiana,2020-03-08,18,2,0,IN,0.9118473535423026
Iowa,2020-03-08,19,3,0,IA,0.4365225895847872
Kansas,2020-03-08,20,1,0,KS,0.6258180447311685
Kentucky,2020-03-08,21,4,0,KY,0.21097195922269385
Maryland,2020-03-08,24,5,0,MD,0.7564671079412936
Massachusetts,2020-03-08,25,28,0,MA,0.9137497315335571
Minnesota,2020-03-08,27,2,0,MN,0.0929766864227426
Missouri,2020-03-08,29,1,0,MO,0.3934053624963886
Nebraska,2020-03-08,31,16,0,NE,0.17867301046894124
Nevada,2020-03-08,32,4,0,NV,0.8005096281236529
New Hampshire,2020-03-08,33,4,0,NH,0.819934622645921
New Jersey,2020-03-08,34,6,0,NJ,0.6231658598280637
New York,2020-03-08,36,106,0,NY,0.19484480383283298
North Carolina,2020-03-08,37,2,0,NC,0.5571406427561783
Oklahoma,2020-03-08,40,1,0,OK,0.4214381796508252
Oregon,2020-03-08,41,13,0,OR,0.26088608582011674
Pennsylvania,2020-03-08,42,6,0,PA,0.3928063857562266
Rhode Island,2020-03-08,44,3,0,RI,0.8358053655830531
South Carolina,2020-03-08,45,6,0,SC,0.7184468128146837
Tennessee,2020-03-08,47,3,0,TN,0.017078601355893452
Texas,2020-03-08,48,23,0,TX,0.49777947526355226
Utah,2020-03-08,49,3,0,UT,0.2343441775329903
Vermont,2020-03-08,50,1,0,VT,0.5987710349013432
Virginia,2020-03-08,51,2,0,VA,0.2863038710386715
Washington,2020-03-08,53,141,19,WA,0.46132753851470976
Wisconsin,2020-03-08,55,1,0,WI,0.3421302926250134
Arizona,2020-03-09,4,6,0,AZ,0.07479585423619217
California,2020-03-09,6,172,2,CA,0.7899006122614826
Colorado,2020-03-09,8,12,0,CO,0.11855673407323941
Connecticut,2020-03-09,9,2,0,CT,0.5032504521706092
District of Columbia,2020-03-09,11,4,0,DC,0.9313531482232986
Florida,2020-03-09,12,14,2,FL,0.1559911101057384
Georgia,2020-03-09,13,17,0,GA,0.3366507748980624
Hawaii,2020-03-09,15,2,0,HI,0.7562173316150066
Illinois,2020-03-09,17,11,0,IL,0.03827548170695094
Indiana,2020-03-09,18,4,0,IN,0.7076715381658585
Iowa,2020-03-09,19,8,0,IA,0.263604011070391
Kansas,2020-03-09,20,1,0,KS,0.8615829696357106
Kentucky,2020-03-09,21,5,0,KY,0.2777339636217153
Louisiana,2020-03-09,22,1,0,LA,0.7194870762878484
Maryland,2020-03-09,24,6,0,MD,0.7927732496559179
Massachusetts,2020-03-09,25,41,0,MA,0.9991328525402884
Minnesota,2020-03-09,27,2,0,MN,0.7558343697790244
Missouri,2020-03-09,29,1,0,MO,0.1994719767823918
Nebraska,2020-03-09,31,16,0,NE,0.08370926502662634
Nevada,2020-03-09,32,4,0,NV,0.39612618978618375
New Hampshire,2020-03-09,33,4,0,NH,0.3208004673772177
New Jersey,2020-03-09,34,11,0,NJ,0.8143895410680968
New York,2020-03-09,36,142,0,NY,0.43770203003001795
North Carolina,2020-03-09,37,7,0,NC,0.37652028082161615
Ohio,2020-03-09,39,3,0,OH,0.4835990270808218
Oklahoma,2020-03-09,40,1,0,OK,0.4094993971235704
Oregon,2020-03-09,41,13,0,OR,0.5574650166167163
Pennsylvania,2020-03-09,42,10,0,PA,0.36715375296310837
Rhode Island,2020-03-09,44,3,0,RI,0.7440961775249132
South Carolina,2020-03-09,45,7,0,SC,0.2685608186574161
Tennessee,2020-03-09,47,4,0,TN,0.07551358782599715
Texas,2020-03-09,48,24,0,TX,0.4301262670015622
Utah,2020-03-09,49,3,0,UT,0.5628524877085311
Vermont,2020-03-09,50,1,0,VT,0.34776715889568943
Virginia,2020-03-09,51,5,0,VA,0.3623806877682796
Washington,2020-03-09,53,179,22,WA,0.565344843404665
Wisconsin,2020-03-09,55,2,0,WI,0.24734105951145513
Arizona,2020-03-10,4,6,0,AZ,0.9550078722974417
California,2020-03-10,6,179,3,CA,0.12790498277800522
Colorado,2020-03-10,8,17,0,CO,0.8004694671520336
Connecticut,2020-03-10,9,2,0,CT,0.5834197107369092
District of Columbia,2020-03-10,11,4,0,DC,0.033992177183187144
Florida,2020-03-10,12,23,2,FL,0.9431084083452297
Georgia,2020-03-10,13,22,0,GA,0.14920944529930924
